Movie_Name,Director(s),Genre(s)
45365 2010,"Bill Ross IV, Turner Ross",Documentary
Tootsie 1982,Sydney Pollack,"Drama, Comedy, Romance"
Marooned in Iraq 2003,Bahman Ghobadi,Drama
To Kill a Mockingbird 1962,Robert Mulligan,"Drama, Crime"
Descendant 2022,Margaret Brown,"History, Documentary"
Aquarius 2016,Kleber Mendonça Filho,Drama
"So Long, My Son",Xiaoshuai Wang,Drama
Apollo 11 2019,Todd Douglas Miller,"History, Documentary"
Anomalisa 2015,"Charlie Kaufman, Duke Johnson","Drama, Fantasy, Comedy, Romance, Animation"
Toy Story 2 1999,"Ash Brannon, John Lasseter, Lee Unkrich","Adventure, Fantasy, Comedy, Animation, Family"
Black Panther 2018,Ryan Coogler,"Action, Adventure, Sci-Fi, Drama"
The Human Voice 2021,Pedro Almodóvar,"Drama, Short"
Brooklyn 2015,John Crowley,"Drama, Comedy, Romance"
Nobody Knows 2005,Hirokazu Koreeda,Drama
Life Is Sweet 1991,Mike Leigh,"Drama, Comedy"
Faces 1968,John Cassavetes,Drama
Mary Poppins 1964,Robert Stevenson,"Fantasy, Comedy, Family, Musical"
The Lord of the Rings: The Two Towers 2002,Peter Jackson,"Action, Adventure, Fantasy"
L'Enfant (The Child) 2006,"Jean-Pierre Dardenne, Luc Dardenne","Drama, Romance, Crime"
Jane Fonda in Five Acts 2018,Susan Lacy,Documentary
The Conversation 1974,Francis Ford Coppola,"Drama, Mystery, Thriller"
Good Morning 1962,Yasujiro Ozu,"Drama, Comedy, Family"
Newtown 2016,Kim A. Snyder,Documentary
Poetry 2011,Chang-dong Lee,Drama
Restless Creature: Wendy Whelan 2017,"Adam Schlesinger, Linda Saffire",Documentary
Birdman or (The Unexpected Virtue of Ignorance) 2014,Alejandro González Iñárritu,"Drama, Comedy"
Little Women 1994,Gillian Armstrong,"Drama, Romance, Family"
Aftershock 2022,"Paula Eiselt, Tonya Lewis Lee",Documentary
Shakespeare in Love 1998,John Madden,"Drama, Comedy, Romance"
The Awful Truth 1937,Leo McCarey,"Comedy, Romance"
Can You Ever Forgive Me? 2018,Marielle Heller,"Biography, Drama, Comedy, Crime"
Wolfwalkers 2020,"Ross Stewart, Tomm Moore","Adventure, Fantasy, Animation, Family"
It Happened One Night 1934,Frank Capra,"Comedy, Romance"
The Body Remembers When the World Broke Open 2019,"Elle-Máijá Tailfeathers, Kathleen Hepburn",Drama
The Missing Picture 2013,Rithy Panh,Documentary
"I Travel Because I Have to, I Come Back Because I Love You 2011","Karim Ainouz, Marcelo Gomes",Drama
The Invisible Man 1933,James Whale,"Sci-Fi, Horror"
Scarface 1932,"Howard Hawks, Richard Rosson","Action, Drama, Thriller, Crime, Film-Noir"
Of Men and War 2015,Laurent Bécue-Renard,"History, War, Documentary"
The Long Goodbye 1973,Robert Altman,"Drama, Mystery, Thriller, Comedy, Crime"
She Wore a Yellow Ribbon 1949,John Ford,Western
Imitation of Life 1959,Douglas Sirk,Drama
Pain and Glory 2019,Pedro Almodóvar,Drama
Genèse (Genesis) 2019,Philippe Lesage,Drama
The Farthest 2017,Emer Reynolds,"History, Documentary"
Gomorrah 2009,Matteo Garrone,"Drama, Crime"
Days 2021,Ming-liang Tsai,Drama
Who We Are: A Chronicle of Racism in America 2022,"Emily Kunstler, Sarah Kunstler",Documentary
To Be and to Have 2003,Nicolas Philibert,"Family, Documentary"
A Night of Knowing Nothing 2022,Payal Kapadia,Documentary
Halloween 1978,John Carpenter,"Thriller, Horror"
Eraserhead 1978,David Lynch,Horror
The Velvet Underground 2021,Todd Haynes,"Music, Documentary"
Medium Cool 1969,Haskell Wexler,Drama
Attica 2021,Stanley Nelson,Documentary
Can You Bring It: Bill T. Jones and D-Man in the Waters 2021,"Rosalynde LeBlanc, Tom Hurwitz",Documentary
Alcarràs,Carla Simón,Drama
Fire at Sea 2016,Gianfranco Rosi,Documentary
The Fugitive 1993,Andrew Davis,"Action, Drama, Mystery, Thriller, Crime"
F for Fake 1975,"François Reichenbach, Gary Graver, Oja Kodar, Orson Welles",Documentary
About Elly (2009) 2015,Asghar Farhadi,"Drama, Mystery"
The Bridge on the River Kwai 1957,David Lean,"Adventure, Drama, War"
Goldfinger 1965,Guy Hamilton,"Action, Adventure, Thriller"
Ma Rainey's Black Bottom 2020,George C. Wolfe,"Drama, Music"
One False Move 1992,Carl Franklin,"Drama, Crime"
En el Séptimo Día (On the Seventh Day) 2018,Jim McKay,Drama
Jane 2017,Brett Morgen,"Biography, Documentary"
Jaws 1975,Steven Spielberg,"Adventure, Thriller, Horror"
We Are the Best! 2014,Lukas Moodysson,Drama
Spartacus 1960,Stanley Kubrick,"Adventure, Biography, Drama, History, War"
Small Axe: Education 2020,Steve McQueen,Drama
About Endlessness 2021,Roy Andersson,"Drama, Fantasy"
Back to the Future 1985,Robert Zemeckis,"Adventure, Sci-Fi, Comedy"
Hope 2021,Maria Sødahl,"Drama, Romance"
If Beale Street Could Talk 2018,Barry Jenkins,"Drama, Romance, Crime"
My Journey Through French Cinema 2017,Bertrand Tavernier,Documentary
Wallace & Gromit: The Curse of the Were-Rabbit 2005,"Nick Park, Steve Box","Adventure, Comedy, Animation, Family"
The Diary of a Teenage Girl 2015,Marielle Heller,"Drama, Romance"
Elena 2012,Andrei Zvyagintsev,Drama
All Is Lost 2013,J.C. Chandor,"Action, Adventure, Drama"
Hereditary 2018,Ari Aster,"Drama, Mystery, Thriller, Horror"
Listen to Me Marlon 2015,Stevan Riley,"Biography, Documentary"
Gideon's Army 2013,Dawn Porter,Documentary
Odd Man Out 1947,Carol Reed,"Drama, Thriller, Crime"
Maria Full of Grace 2004,Joshua Marston,"Drama, Thriller, Crime"
Fateless 2006,Lajos Koltai,Drama
Happy as Lazzaro 2018,Alice Rohrwacher,Drama
