Movie_Name,Director(s),Genre(s)
45 Years 2015,Andrew Haigh,"Drama, Romance"
Taxi Driver 1976,Martin Scorsese,"Drama, Thriller, Crime"
The Servant 1964,Joseph Losey,Drama
Pulp Fiction 1994,Quentin Tarantino,"Drama, Thriller, Crime"
The Manchurian Candidate 1962,John Frankenheimer,"Drama, Mystery, Thriller"
Mr. Turner 2014,Mike Leigh,"Biography, Drama, History"
The Irishman 2019,Martin Scorsese,"Biography, Drama, History, Thriller, Crime"
Amazing Grace 2018,"Alan Elliott, Sydney Pollack",Documentary
Grave of the Fireflies (1988) 1989,Isao Takahata,"Drama, War, Animation"
The Wild Child 1970,François Truffaut,Drama
Shadow of a Doubt 1943,Alfred Hitchcock,Thriller
Inside Out 2015,"Pete Docter, Ronaldo Del Carmen","Adventure, Drama, Fantasy, Comedy, Animation, Family"
Sideways 2004,Alexander Payne,"Drama, Comedy, Romance"
Schindler's List 1993,Steven Spielberg,"Biography, Drama, History, War"
The Apartment 1960,Billy Wilder,"Drama, Comedy, Romance"
Apocalypse Now 1979,Francis Ford Coppola,"Action, Drama, War"
The Gunfighter 1950,Henry King,Western
We Were Here 2011,"Bill Weber, David Weissman",Documentary
Faces Places 2017,"Agnès Varda, JR",Documentary
Chimes at Midnight 1967,Orson Welles,"Drama, History, Comedy, War"
The Lord of the Rings: The Return of the King 2003,Peter Jackson,"Action, Adventure, Fantasy"
Call Me by Your Name 2017,Luca Guadagnino,"Drama, Romance"
Carlos 2010,Olivier Assayas,"Biography, Drama, History, Thriller, Crime"
Marriage Story 2019,Noah Baumbach,"Drama, Comedy, Romance"
The French Connection 1971,William Friedkin,"Action, Drama, Thriller, Crime"
La La Land 2016,Damien Chazelle,"Drama, Comedy, Romance, Musical"
"Crouching Tiger, Hidden Dragon 2000",Ang Lee,"Action, Adventure, Drama, Fantasy, Romance"
"Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles 1978",Chantal Akerman,Drama
Petite Maman 2021,Céline Sciamma,Drama
The Magnificent Ambersons 1942,"Fred Fleck, Orson Welles, Robert Wise","Drama, Romance"
Reversal of Fortune 1990,Barbet Schroeder,"Drama, Mystery"
David Byrne’s American Utopia 2020,Spike Lee,"Music, Musical, Documentary"
Lady Bird 2017,Greta Gerwig,"Drama, Comedy"
Saint Omer 2023,Alice Diop,Drama
Shoplifters 2018,Hirokazu Koreeda,"Drama, Crime"
Shoah: Four Sisters 2018,Claude Lanzmann,"History, Documentary"
The 39 Steps 1935,Alfred Hitchcock,"Mystery, Thriller, Film-Noir"
Duck Soup 1933,Leo McCarey,"Comedy, War, Musical"
Days of Heaven 1978,Terrence Malick,"Drama, Romance"
Toni Erdmann 2016,Maren Ade,"Drama, Comedy"
Yi Yi 2000,Edward Yang,"Drama, Romance, Music"
McCabe & Mrs. Miller 1971,Robert Altman,"Drama, Western"
Inside Llewyn Davis 2013,"Ethan Coen, Joel Coen","Drama, Music"
The Best Years of Our Lives 1946,William Wyler,"Drama, Romance, War"
Stagecoach 1939,John Ford,"Adventure, Drama, Western"
Sherpa 2015,Jennifer Peedom,Documentary
There Will Be Blood 2007,Paul Thomas Anderson,"Drama, Thriller"
Badlands 1973,Terrence Malick,"Drama, Crime"
The Last Picture Show 1971,Peter Bogdanovich,Drama
Do the Right Thing 1989,Spike Lee,"Drama, Comedy"
Sita Sings the Blues 2009,Nina Paley,"Fantasy, Comedy, Romance, Animation, Musical"
The Decline of Western Civilization 1981,Penelope Spheeris,"History, Music, Documentary"
